"Species"	"Order"	"Suborder"	"Family"	"Genus"	"Description.author.s"	"Description.year"	"Subspecies"	"Main.biogeographic.region"	"Microhabitat"	"Habitat.type"	"Minimal.elevation..m."	"Maximum.elevation..m."	"Mean.Annual.Temperature...C."	"Temperature.Seasonality..standard.deviation.100."	"Seasonality.Precipitation..coefficient.of.variation...100."	"Insular.endemic..yes.or.no."	"Venomous..yes.or.no."	"Diet"	"Diet..comments"	"Active.time"	"Dorsal.colour"	"Dorsal.pattern"	"Foraging.mode"	"Pupil.Shape"	"Fangs"	"Maximum.Longevity..years."	"Maximum.body.mass..g."	"Maximum.total.length...TL...mm."	"Maximum.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.female.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.male.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.juvenile.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Hatchling.neonate.mass..g."	"Reproductive.mode"	"Sex.determining.mechanism..GSD.or.TSD."	"Mean.number.of.offspring.per.litter.or.number.of.eggs.per.clutch"	"Smallest.clutch.size"	"Largest.clutch.size"	"Number.of.litters.or.clutches.produced.per.year"	"Egg.length..mm."	"Egg.width..mm."	"Mean.Tb"	"Minimum.Tb"	"Maximum.Tb"	"Genetic.data..yes.or.not."	"IUCN.redlist.assessment"	"IUCN.population.trend"	"X"
"Eurolophosaurus nanuzae"	"Squamata"	"Sauria"	"Tropiduridae"	"Eurolophosaurus"	"Rodrigues"	1981	"No"	"Neotropic"	"Saxicolous"	"Shrubland"	970	1100	NA	NA	25.63	"No"	"No"	"Carnivorous"	"Fontes etAl. 2003 discuss \"prey\""	"Diurnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	9.8	NA	62	50	NA	NA	NA	"oviparous"	"GSD (XX/XY)"	2	1	3	NA	NA	NA	34.1	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Eutrachelophis papilio"	"Squamata"	"Serpentes"	"Colubridae"	"Eutrachelophis"	"Zaher & Prudente"	2019	"No"	"Neotropic"	"Terrestrial"	"Forest"	NA	NA	NA	NA	0.3	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.3	540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA
"Exila nigropalmata"	"Squamata"	"Sauria"	"Scincidae"	"Exila"	"Andersson"	1918	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest"	150	2200	17.47	661.95	11.51	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	8.9	NA	76	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Glaucomastix abaetensis"	"Squamata"	"Sauria"	"Teiidae"	"Glaucomastix"	"Reis Dias, Rocha & Vrcibradic"	2002	"No"	"Neotropic"	"Terrestrial"	NA	10	70	NA	NA	17.36	"No"	"No"	"Carnivorous"	"Arthropods (insects,Almost solely isoptera, Travassos etAl. 2015)"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	10.7	NA	72	51.8	NA	NA	NA	"oviparous"	NA	1.4	1	2	NA	NA	NA	37.5	NA	NA	"Yes"	"Endangered"	"Decreasing"	NA
"Glaucomastix cyanura"	"Squamata"	"Sauria"	"Teiidae"	"Glaucomastix"	"Arias, De Carvalho, Rodrigues & Zaher"	2011	"No"	"Neotropic"	"Terrestrial"	NA	650	1030	NA	NA	36.66	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	15.8	NA	81.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Data Deficient"	"Unknown"	NA
"Glaucomastix itabaianensis"	"Squamata"	"Sauria"	"Teiidae"	"Glaucomastix"	"Rosário, Santos, Arias, Rocha, Dias, Carvalho & Rodrigues"	2019	"No"	"Neotropic"	"Terrestrial"	NA	60	70	NA	NA	17.95	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	9.1	NA	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Glaucomastix littoralis"	"Squamata"	"Sauria"	"Teiidae"	"Glaucomastix"	"Rocha, Bamberg Araújo, Vrcibradic & Mamede Da Costa"	2000	"No"	"Neotropic"	"Terrestrial"	NA	0	160	NA	NA	16.53	"No"	"No"	"Carnivorous"	"Arthropods (mostly termites, Rocha etAl. 2000)"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	15.8	NA	81.8	62.8	NA	NA	NA	"oviparous"	"GSD (XX/XY)"	5.2	5	6	NA	NA	NA	37.6	NA	NA	"Yes"	"Endangered"	"Unknown"	NA
"Glaucomastix venetacauda"	"Squamata"	"Sauria"	"Teiidae"	"Glaucomastix"	"Arias, De Carvalho, Rodrigues & Zaher"	2011	"No"	"Neotropic"	"Terrestrial"	"Savanna"	NA	NA	11.36	925.8	30.05	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	19.1	NA	87	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Gomesophis brasiliensis"	"Squamata"	"Serpentes"	"Colubridae"	"Gomesophis"	"Gomes"	1918	"No"	"Neotropic"	"Semi-Aquatic"	"Savanna/Wetlands"	550	560	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"slit (or vertical elliptical)"	"rear-fanged"	NA	17.8	336	289	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Gonatodes annularis"	"Squamata"	"Sauria"	"Sphaerodactylidae"	"Gonatodes"	"Boulenger"	1887	"No"	"Neotropic"	"Arboreal/Saxicolous"	"Forest"	0	500	NA	NA	15.88	"No"	"No"	"Carnivorous"	"Insects"	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	4.1	NA	55	46.5	NA	20	NA	"oviparous"	NA	2	1	2	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Gonatodes eladioi"	"Squamata"	"Sauria"	"Sphaerodactylidae"	"Gonatodes"	"Nascimento, Avila-Pires &  Cunha"	1987	"No"	"Neotropic"	NA	"Forest"	200	400	NA	NA	12.46	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	1	NA	34	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Gonatodes hasemani"	"Squamata"	"Sauria"	"Sphaerodactylidae"	"Gonatodes"	"Griffin"	1917	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest"	140	150	NA	NA	10.91	"No"	"No"	"Carnivorous"	"Arthropods"	"Diurnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	2.4	NA	46	41.6	NA	21.7	NA	"oviparous"	NA	1	1	1	NA	NA	NA	30.6	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Gonatodes humeralis"	"Squamata"	"Sauria"	"Sphaerodactylidae"	"Gonatodes"	"Guichenot"	1855	"No"	"Neotropic"	"Arboreal"	"Forest"	0	1000	NA	NA	13.59	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	2.6	NA	35	NA	NA	NA	NA	"oviparous"	"GSD (XX/XY)"	1.3	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Stable"	NA
"Gonatodes nascimentoi"	"Squamata"	"Sauria"	"Sphaerodactylidae"	"Gonatodes"	"Sturaro & Avila-Pires"	2011	"No"	"Neotropic"	"Arboreal/Saxicolous"	"Forest"	NA	NA	NA	NA	16.79	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	4.3	NA	55.7	46.9	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Gonatodes tapajonicus"	"Squamata"	"Sauria"	"Sphaerodactylidae"	"Gonatodes"	"Rodrigues"	1980	"No"	"Neotropic"	"Arboreal"	"Forest"	NA	NA	NA	NA	10.8	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	4.1	NA	55	47.3	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Vulnerable"	"Unknown"	NA
"Gymnodactylus amarali"	"Squamata"	"Sauria"	"Phyllodactylidae"	"Gymnodactylus"	"Barbour"	1925	"No"	"Neotropic"	"Saxicolous/Terrestrial"	"Savanna"	510	520	NA	NA	24.67	"No"	"No"	"Carnivorous"	"Arthropods (termite specialist, Colli etAl. 2003, Vitt etAl. 2007, deAmorim etAl. 2017)"	"Nocturnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	4.4	NA	54.7	44.5	NA	20	NA	"oviparous"	NA	1.7	1	2	NA	NA	NA	30.8	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Gymnodactylus darwinii"	"Squamata"	"Sauria"	"Phyllodactylidae"	"Gymnodactylus"	"Gray"	1845	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest/Shrubland"	0	10	NA	NA	19.15	"No"	"No"	"Carnivorous"	"Arthropods (e.g.,Almeida-Gomes etAl. 2012: \"orthopterans (66.6%), followed by isopods (13.3%). Volumetrically, blattarians (55.4% of the total ingested)And orthopterans (39%) were the most important items.\"; Teixeira 2002: mostly isopods, spidersAnd cockroachesAlso common in diet)"	"Nocturnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	5.5	NA	59.1	NA	NA	17	NA	"oviparous"	NA	2	2	2	NA	NA	NA	26.4	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Gymnodactylus geckoides"	"Squamata"	"Sauria"	"Phyllodactylidae"	"Gymnodactylus"	"Spix"	1825	"No"	"Neotropic"	"Saxicolous/Terrestrial"	"Savanna"	280	510	NA	NA	37.7	"No"	"No"	"Carnivorous"	"Arthropods: termites,AntsAnd otherArthropods (e.g., Mesquita etAl. 2006b, Vitt etAl. 2007), Ferreira etAl. 2017"	"Cathemeral"	NA	NA	"Mixed"	NA	"non-fanged"	NA	4.4	NA	54.7	40.2	NA	20.3	NA	"oviparous"	NA	1.1	1	2	NA	NA	NA	31.9	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Gymnodactylus guttulatus"	"Squamata"	"Sauria"	"Phyllodactylidae"	"Gymnodactylus"	"Vanzolini"	1982	"No"	"Neotropic"	"Saxicolous"	"Savanna"	NA	NA	NA	NA	23.52	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	3.2	NA	49.6	33	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Gymnodactylus vanzolinii"	"Squamata"	"Sauria"	"Phyllodactylidae"	"Gymnodactylus"	"Cassimiro & Rodrigues"	2009	"No"	"Neotropic"	"Saxicolous"	"Rocky/Savanna"	990	1010	NA	NA	26.2	"No"	"No"	NA	NA	"Nocturnal"	NA	NA	NA	NA	"non-fanged"	NA	3.8	NA	52.3	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Gymnophthalmus leucomystax"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Gymnophthalmus"	"Vanzolini & Carvalho"	1991	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Savanna"	168	663	NA	NA	18.8	"No"	"No"	"Carnivorous"	"Arthropods"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	2	NA	46	38.7	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Data Deficient"	"Unknown"	NA
"Gymnophthalmus underwoodi"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Gymnophthalmus"	"Grant"	1958	"No"	"Neotropic"	"Terrestrial"	"Grassland"	0	300	25.45	733.2	16.37	"No"	"No"	"Carnivorous"	"Arthropods (e.g., insects, especiallyAntsAnd termites; PowellAnd Henderson 2017)"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	2.3	NA	48	38	NA	17.5	NA	"oviparous"	NA	2	1	6	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Gymnophthalmus vanzoi"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Gymnophthalmus"	"Carvalho"	1999	"No"	"Neotropic"	"Terrestrial"	"Forest"	230	659	NA	NA	21.45	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	1.7	NA	43	NA	NA	NA	NA	"oviparous"	NA	2	2	2	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Habrophallos collaris"	"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Habrophallos"	"Hoogmoed"	1977	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	1.2	150	NA	NA	NA	NA	NA	"oviparous"	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Helicops acangussu"	"Squamata"	"Serpentes"	"Colubridae"	"Helicops"	"Moraes-Da-Silva, Walterman, Citeli, Sales-Nunes & Curcio"	2022	"No"	"Neotropic"	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Helicops angulatus"	"Squamata"	"Serpentes"	"Colubridae"	"Helicops"	"Linnaeus"	1758	"No"	"Neotropic"	"Semi-Aquatic"	"Forest/Wetlands"	0	2410	NA	NA	NA	"No"	"Yes"	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	179.6	1025	306.5	NA	NA	NA	NA	"ovoviviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Helicops apiaka"	"Squamata"	"Serpentes"	"Colubridae"	"Helicops"	"Kawashita-Ribeiro, Ávila & Morais"	2013	"No"	"Neotropic"	"Aquatic"	"Forest"	NA	NA	NA	NA	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	79.9	745	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Helicops boitata"	"Squamata"	"Serpentes"	"Colubridae"	"Helicops"	"Moraes-Da-Silva, Cecília Amaro, Sales-Nunes, Strüssmann, Teixeira, Andrade, Sudré, Recoder, Rodrigues & Curcio"	2019	"No"	"Neotropic"	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA
"Helicops carinicaudus"	"Squamata"	"Serpentes"	"Colubridae"	"Helicops"	"Wied-Neuwied"	1824	"Helicops carinicaudus carinicaudus WIED-NEUWIED 1825
Helicops carinicaudus triserialis LINDHOLM in LAMPE & LINDHOLM 1902"	"Neotropic"	"Aquatic"	"Wetlands"	12	1489	NA	NA	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	173	1010	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Helicops gomesi"	"Squamata"	"Serpentes"	"Colubridae"	"Helicops"	"Amaral"	1922	"No"	"Neotropic"	"Aquatic"	"Forest/Savanna"	8	1775	NA	NA	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	171.7	1007	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Helicops hagmanni"	"Squamata"	"Serpentes"	"Colubridae"	"Helicops"	"Roux"	1910	"No"	"Neotropic"	"Aquatic"	"Forest/Wetlands"	0	500	NA	NA	0.3	"No"	"Yes"	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	146.1	945	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Helicops infrataeniatus"	"Squamata"	"Serpentes"	"Colubridae"	"Helicops"	"Jan"	1865	"No"	"Neotropic"	"Aquatic"	"Forest/Grassland/Savanna"	24	1026	20.9	278.2	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	168.7	1000	NA	NA	NA	NA	NA	"viviparous"	NA	18	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Helicops leopardinus"	"Squamata"	"Serpentes"	"Colubridae"	"Helicops"	"Schlegel"	1837	"No"	"Neotropic"	"Semi-Aquatic"	"Forest/Savanna/Wetlands"	0	2410	22	143	0.3	"No"	"Yes"	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	98.8	810	240	NA	NA	NA	NA	"viviparous"	NA	7.5	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Helicops modestus"	"Squamata"	"Serpentes"	"Colubridae"	"Helicops"	"Günther"	1861	"No"	"Neotropic"	"Semi-Aquatic"	"Savanna/Wetlands"	NA	NA	NA	NA	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	"ACT"	NA	"rear-fanged"	NA	90.2	633	285	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Helicops nentur"	"Squamata"	"Serpentes"	"Colubridae"	"Helicops"	"Costa, Santana, Leal, Koroiva & Garcia"	2016	"No"	"Neotropic"	NA	NA	260	260	NA	NA	NA	"No"	"Yes"	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	87.1	NA	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"No"	NA	NA	NA
"Helicops phantasma"	"Squamata"	"Serpentes"	"Colubridae"	"Helicops"	"Moraes-Da-Silva, Cecília Amaro, Sales-Nunes, Rodrigues & Curcio"	2021	"No"	"Neotropic"	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA
"Helicops polylepis"	"Squamata"	"Serpentes"	"Colubridae"	"Helicops"	"Günther"	1861	"No"	"Neotropic"	"Aquatic"	"Forest/Wetlands"	NA	NA	NA	NA	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	191.8	1052	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Helicops tapajonicus"	"Squamata"	"Serpentes"	"Colubridae"	"Helicops"	"Da Frota"	2005	"No"	"Neotropic"	NA	"Forest"	NA	NA	NA	NA	0.5	"No"	"Yes"	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	42.7	582	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Helicops trivittatus"	"Squamata"	"Serpentes"	"Colubridae"	"Helicops"	"Gray"	1849	"No"	"Neotropic"	"Aquatic"	"Forest/Wetlands"	NA	NA	NA	NA	0.3	"No"	"Yes"	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	121.5	870	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Helicops yacu"	"Squamata"	"Serpentes"	"Colubridae"	"Helicops"	"Rossman & Dixon"	1975	"No"	"Neotropic"	NA	"Forest/Wetlands"	NA	NA	NA	NA	0.1	"No"	"Yes"	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	83.1	900	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Hemidactylus agrius"	"Squamata"	"Sauria"	"Gekkonidae"	"Hemidactylus"	"Vanzolini"	1978	"No"	"Neotropic"	"Arboreal/Saxicolous/Terrestrial"	"Savanna"	71	625	NA	NA	39.79	"No"	"No"	NA	NA	"Nocturnal"	NA	NA	NA	NA	"non-fanged"	NA	6	NA	66	NA	NA	21.9	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Hemidactylus brasilianus"	"Squamata"	"Sauria"	"Gekkonidae"	"Hemidactylus"	"Amaral"	1935	"No"	"Neotropic"	"Arboreal/Saxicolous/Terrestrial"	"Savanna"	80	1080	NA	NA	31.81	"No"	"No"	"Carnivorous"	"Arthropods (40% diplopods, Mesquita etAl. 2006b, seeAlso RochaAnd Rodrigues 2005, Menezes etAl. 2013), insects (,ostly isoptera, Travassos etAl. 2015)"	"Nocturnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	5.5	NA	64	47.8	NA	21.4	NA	"oviparous"	NA	1.9	1	2	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Hemidactylus palaichthus"	"Squamata"	"Sauria"	"Gekkonidae"	"Hemidactylus"	"Kluge"	1969	"No"	"Neotropic"	"Arboreal/Saxicolous/Terrestrial"	"Forest/Savanna"	0	250	NA	NA	14.32	"No"	"No"	"Carnivorous"	"Arthropods"	"Nocturnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	7.4	NA	71	63.5	NA	NA	NA	"oviparous"	NA	2	1	2	NA	NA	NA	26.7	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Heterodactylus imbricatus"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Heterodactylus"	"Spix"	1825	"No"	"Neotropic"	"Terrestrial"	"Forest/Savanna"	NA	NA	NA	NA	18.85	"No"	"No"	"Carnivorous"	"insects (Morton etAl. 2012)"	NA	NA	NA	NA	NA	"non-fanged"	NA	36.3	NA	110	61.4	NA	NA	NA	"oviparous"	NA	1.5	1	2	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Heterodactylus lundii"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Heterodactylus"	"Reinhardt & Lütken"	1862	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Savanna"	NA	NA	NA	NA	21.4	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	4.9	NA	60	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Endangered"	"Unknown"	NA
"Heterodactylus septentrionalis"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Heterodactylus"	"Rodrigues, De Freitas & Silva"	2009	"No"	"Neotropic"	"Terrestrial"	"Rocky/Savanna"	NA	NA	9.22	961.28	26.2	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	3.1	NA	52	47	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Endangered"	"Unknown"	NA
"Homonota uruguayensis"	"Squamata"	"Sauria"	"Phyllodactylidae"	"Homonota"	"Vaz-Ferreira & Sierra De Soriano"	1961	"No"	"Neotropic"	"Saxicolous"	"Grassland/Rocky"	303	561	NA	NA	20.7	"No"	"No"	"Carnivorous"	"Arthropods (mostly spiders, grasshoppersAnd beetles)And tails of conspecifics (Nunes 2009)"	"Cathemeral"	NA	NA	"Mixed"	NA	"non-fanged"	NA	3.3	NA	50	NA	NA	NA	NA	"oviparous"	NA	1.5	1	2	NA	NA	NA	NA	NA	NA	"Yes"	"Endangered"	"Decreasing"	NA
"Hoplocercus spinosus"	"Squamata"	"Sauria"	"Hoplocercidae"	"Hoplocercus"	"Fitzinger"	1843	"No"	"Neotropic"	"Terrestrial"	"Forest/Savanna"	100	600	NA	NA	14.74	"No"	"No"	"Carnivorous"	"Arthropods"	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	33.1	NA	105	NA	NA	NA	NA	"oviparous"	NA	4	4	4	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Hydrodynastes bicinctus"	"Squamata"	"Serpentes"	"Colubridae"	"Hydrodynastes"	"Hermann"	1804	"No"	"Neotropic"	"Aquatic"	"Forest/Wetlands"	0	500	NA	NA	0.3	"No"	"Yes"	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	471.6	1750	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Hydrodynastes gigas"	"Squamata"	"Serpentes"	"Colubridae"	"Hydrodynastes"	"Duméril, Bibron  & Duméril"	1854	"No"	"Neotropic"	"Semi-Aquatic"	"Forest/Grassland/Savanna/Shrubland/Wetlands"	25	600	24.4	140.3	0.3	"No"	"Yes"	NA	NA	"Diurnal"	NA	NA	NA	"round (or oval)"	"rear-fanged"	16.9	2193.6	2750	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Hydrops caesurus"	"Squamata"	"Serpentes"	"Colubridae"	"Hydrops"	"Scrocchi, Ferreira, Giraudo, Ávila & Motte"	2005	"No"	"Neotropic"	"Aquatic"	"Wetlands"	NA	NA	NA	NA	0.1	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	80	720	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Hydrops martii"	"Squamata"	"Serpentes"	"Colubridae"	"Hydrops"	"Wagler"	1824	"No"	"Neotropic"	"Aquatic"	"Forest/Wetlands"	NA	NA	NA	NA	0.3	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	267.8	1160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Stable"	NA
"Hydrops triangularis"	"Squamata"	"Serpentes"	"Colubridae"	"Hydrops"	"Wagler"	1824	"No"	"Neotropic"	"Aquatic"	"Forest/Savanna/Wetlands"	0	300	25.7	1019	0.3	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	71.3	850	NA	NA	NA	NA	NA	"oviparous"	NA	7.5	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
